school_name,major_name,year,province_id,subject_type,batch,min_score,max_score,avg_score,min_ranking,plan_count,enroll_count
北京大学,计算机科学与技术,2024,3,3,本科批,685,,,120,,
北京大学,经济学,2024,3,3,本科批,680,,,150,,
清华大学,计算机科学与技术,2024,3,3,本科批,687,,,100,,
清华大学,电子信息工程,2024,3,3,本科批,685,,,120,,
复旦大学,经济学,2024,3,3,本科批,675,,,200,,
浙江大学,计算机科学与技术,2024,3,3,本科批,670,,,250,,
南京大学,物理学,2024,3,3,本科批,665,,,300,,
武汉大学,法学,2024,3,3,本科批,650,,,500,,
华中科技大学,计算机科学与技术,2024,3,3,本科批,655,,,450,,
中山大学,临床医学,2024,3,3,本科批,652,,,480,,
四川大学,口腔医学,2024,3,3,本科批,648,,,520,,
西安交通大学,电气工程,2024,3,3,本科批,645,,,550,,
哈尔滨工业大学,机械工程,2024,3,3,本科批,640,,,600,,
北京航空航天大学,计算机科学与技术,2024,3,3,本科批,660,,,350,,
同济大学,土木工程,2024,3,3,本科批,658,,,380,,
北京师范大学,教育学,2024,3,3,本科批,655,,,400,,
南开大学,经济学,2024,3,3,本科批,650,,,450,,
天津大学,建筑学,2024,3,3,本科批,648,,,480,,
山东大学,数学与应用数学,2024,3,3,本科批,630,,,800,,
厦门大学,经济学,2024,3,3,本科批,635,,,700,,
吉林大学,车辆工程,2024,3,3,本科批,615,,,1000,,
大连理工大学,机械工程,2024,3,3,本科批,620,,,950,,
华南理工大学,计算机科学与技术,2024,3,3,本科批,632,,,750,,
电子科技大学,电子信息工程,2024,3,3,本科批,638,,,650,,
北京邮电大学,计算机科学与技术,2024,3,3,本科批,645,,,550,,
上海财经大学,金融学,2024,3,3,本科批,640,,,600,,
中央财经大学,会计学,2024,3,3,本科批,638,,,620,,
中国政法大学,法学,2024,3,3,本科批,642,,,580,,
华东师范大学,教育学,2024,3,3,本科批,635,,,700,,
深圳大学,计算机科学与技术,2024,3,3,本科批,610,,,1100,,
首都医科大学,临床医学,2024,3,3,本科批,635,,,700,,
北京大学,计算机科学与技术,2024,12,3,本科批,680,,,150,,
清华大学,计算机科学与技术,2024,12,3,本科批,682,,,130,,
复旦大学,经济学,2024,12,3,本科批,672,,,220,,
浙江大学,计算机科学与技术,2024,12,3,本科批,668,,,260,,
南京大学,物理学,2024,12,3,本科批,662,,,310,,
武汉大学,法学,2024,12,3,本科批,648,,,520,,
华中科技大学,计算机科学与技术,2024,12,3,本科批,652,,,470,,
中国科学技术大学,数学与应用数学,2024,12,3,本科批,670,,,240,,
合肥工业大学,机械工程,2024,12,3,本科批,600,,,1200,,
安徽大学,计算机科学与技术,2024,12,3,本科批,590,,,1500,,
安徽医科大学,临床医学,2024,12,3,本科批,595,,,1300,,
北京大学,计算机科学与技术,2024,16,3,本科批,688,,,80,,
清华大学,计算机科学与技术,2024,16,3,本科批,690,,,70,,
复旦大学,经济学,2024,16,3,本科批,680,,,130,,
