school_name,major_name,year,province_id,subject_type,batch,plan_count,duration,tuition,remark
北京大学,计算机科学与技术,2025,3,3,本科批,3,4,5300,
北京大学,经济学,2025,3,3,本科批,4,4,5000,
清华大学,计算机科学与技术,2025,3,3,本科批,4,4,5300,
清华大学,电子信息工程,2025,3,3,本科批,3,4,5300,
复旦大学,经济学,2025,3,3,本科批,5,4,5500,
浙江大学,计算机科学与技术,2025,3,3,本科批,6,4,6000,
南京大学,物理学,2025,3,3,本科批,4,4,5500,
武汉大学,法学,2025,3,3,本科批,6,4,5850,
华中科技大学,计算机科学与技术,2025,3,3,本科批,8,4,5850,
中山大学,临床医学,2025,3,3,本科批,5,5,7660,
四川大学,口腔医学,2025,3,3,本科批,3,5,7200,
西安交通大学,电气工程,2025,3,3,本科批,6,4,5200,
哈尔滨工业大学,机械工程,2025,3,3,本科批,5,4,4000,
北京航空航天大学,计算机科学与技术,2025,3,3,本科批,4,4,5500,
同济大学,土木工程,2025,3,3,本科批,6,4,5000,
北京师范大学,教育学,2025,3,3,本科批,5,4,4800,
南开大学,经济学,2025,3,3,本科批,5,4,5200,
天津大学,建筑学,2025,3,3,本科批,4,5,5800,
山东大学,数学与应用数学,2025,3,3,本科批,6,4,5200,
厦门大学,经济学,2025,3,3,本科批,5,4,5460,
北京大学,计算机科学与技术,2025,12,3,本科批,3,4,5300,
清华大学,计算机科学与技术,2025,12,3,本科批,3,4,5300,
复旦大学,经济学,2025,12,3,本科批,4,4,5500,
浙江大学,计算机科学与技术,2025,12,3,本科批,5,4,6000,
南京大学,物理学,2025,12,3,本科批,4,4,5500,
中国科学技术大学,数学与应用数学,2025,12,3,本科批,4,4,4800,
合肥工业大学,机械工程,2025,12,3,本科批,8,4,5000,
安徽大学,计算机科学与技术,2025,12,3,本科批,10,4,4900,
安徽医科大学,临床医学,2025,12,3,本科批,6,5,6000,
北京大学,计算机科学与技术,2025,16,3,本科批,4,4,5300,
清华大学,计算机科学与技术,2025,16,3,本科批,4,4,5300,
复旦大学,经济学,2025,16,3,本科批,5,4,5500,
浙江大学,计算机科学与技术,2025,16,3,本科批,6,4,6000,
南京大学,物理学,2025,16,3,本科批,5,4,5500,
武汉大学,法学,2025,16,3,本科批,8,4,5850,
郑州大学,临床医学,2025,16,3,本科批,10,5,6300,
河南大学,计算机科学与技术,2025,16,3,本科批,12,4,5000,
河南财经政法大学,法学,2025,16,3,本科批,10,4,4800,
北京大学,计算机科学与技术,2025,14,3,本科批,3,4,5300,
清华大学,计算机科学与技术,2025,14,3,本科批,3,4,5300,
复旦大学,经济学,2025,14,3,本科批,4,4,5500,
浙江大学,计算机科学与技术,2025,14,3,本科批,5,4,6000,
南京大学,物理学,2025,14,3,本科批,4,4,5500,
南昌大学,临床医学,2025,14,3,本科批,8,5,6000,
江西财经大学,会计学,2025,14,3,本科批,10,4,4800,
华东交通大学,土木工程,2025,14,3,本科批,8,4,5000,
北京大学,计算机科学与技术,2025,4,3,本科批,3,4,5300,
清华大学,计算机科学与技术,2025,4,3,本科批,3,4,5300,
复旦大学,经济学,2025,4,3,本科批,4,4,5500,
浙江大学,计算机科学与技术,2025,4,3,本科批,5,4,6000,
太原理工大学,机械工程,2025,4,3,本科批,10,4,5000,
山西大学,计算机科学与技术,2025,4,3,本科批,8,4,5000,
山西财经大学,会计学,2025,4,3,本科批,10,4,4800,
北京大学,计算机科学与技术,2025,5,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,5,3,本科批,2,4,5300,
内蒙古大学,计算机科学与技术,2025,5,3,本科批,8,4,4600,
内蒙古医科大学,临床医学,2025,5,3,本科批,6,5,5000,
北京大学,计算机科学与技术,2025,20,3,本科批,3,4,5300,
清华大学,计算机科学与技术,2025,20,3,本科批,3,4,5300,
广西大学,计算机科学与技术,2025,20,3,本科批,10,4,5500,
广西医科大学,临床医学,2025,20,3,本科批,8,5,6000,
北京大学,计算机科学与技术,2025,24,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,24,3,本科批,2,4,5300,
贵州大学,计算机科学与技术,2025,24,3,本科批,10,4,4200,
贵州医科大学,临床医学,2025,24,3,本科批,8,5,4500,
北京大学,计算机科学与技术,2025,25,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,25,3,本科批,2,4,5300,
云南大学,计算机科学与技术,2025,25,3,本科批,10,4,4500,
昆明理工大学,机械工程,2025,25,3,本科批,8,4,4500,
北京大学,计算机科学与技术,2025,28,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,28,3,本科批,2,4,5300,
兰州大学,化学,2025,28,3,本科批,8,4,4800,
西北师范大学,教育学,2025,28,3,本科批,10,4,4300,
北京大学,计算机科学与技术,2025,31,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,31,3,本科批,2,4,5300,
新疆大学,计算机科学与技术,2025,31,3,本科批,10,4,3800,
石河子大学,临床医学,2025,31,3,本科批,8,5,4000,
北京大学,计算机科学与技术,2025,29,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,29,3,本科批,2,4,5300,
青海大学,计算机科学与技术,2025,29,3,本科批,8,4,3500,
北京大学,计算机科学与技术,2025,30,3,本科批,2,4,5300,
清华大学,计算机科学与技术,2025,30,3,本科批,2,4,5300,
宁夏大学,计算机科学与技术,2025,30,3,本科批,8,4,3800,
北京大学,计算机科学与技术,2025,26,3,本科批,1,4,5300,
清华大学,计算机科学与技术,2025,26,3,本科批,1,4,5300,
西藏大学,计算机科学与技术,2025,26,3,本科批,8,4,3000,
