name,code,province_id,address,type,level,nature,is_985,is_211,is_double_first_class,website,description,ranking
浙江师范大学,10345,11,浙江省金华市婺城区迎宾大道688号,3,1,1,0,0,0,https://www.zjnu.edu.cn,浙江省重点大学,400
浙江理工大学,10338,11,浙江省杭州市下沙高教园区2号大街928号,2,1,1,0,0,0,https://www.zstu.edu.cn,浙江省重点大学,401
浙江农林大学,10341,11,浙江省杭州市临安区武肃街666号,7,1,1,0,0,0,https://www.zafu.edu.cn,浙江省重点大学,402
温州大学,10351,11,浙江省温州市瓯海区茶山高教园区,1,1,1,0,0,0,https://www.wzu.edu.cn,浙江省重点大学,403
浙江财经大学,10353,11,浙江省杭州市下沙高教园区学正街18号,5,1,1,0,0,0,https://www.zufe.edu.cn,浙江省重点大学,404
中国计量大学,10356,11,浙江省杭州市下沙高教园区学源街258号,2,1,1,0,0,0,https://www.cjlu.edu.cn,浙江省重点大学,405
浙江中医药大学,10344,11,浙江省杭州市滨江区滨文路548号,4,1,1,0,0,0,https://www.zcmu.edu.cn,浙江省重点大学,406
湖州师范学院,10347,11,浙江省湖州市吴兴区二环东路759号,3,1,1,0,0,0,https://www.zjhu.edu.cn,浙江省重点大学,407
绍兴文理学院,10349,11,浙江省绍兴市越城区环城西路508号,1,1,1,0,0,0,https://www.usx.edu.cn,浙江省重点大学,408
台州学院,10350,11,浙江省台州市椒江区市府大道1139号,1,1,1,0,0,0,https://www.tzc.edu.cn,浙江省重点大学,409
嘉兴学院,10354,11,浙江省嘉兴市南湖区越秀南路56号,1,1,1,0,0,0,https://www.zjxu.edu.cn,浙江省重点大学,410
浙江万里学院,10876,11,浙江省宁波市鄞州区钱湖南路8号,1,1,2,0,0,0,https://www.zwu.edu.cn,浙江省重点大学,411
浙江科技学院,11057,11,浙江省杭州市西湖区留和路318号,2,1,1,0,0,0,https://www.zust.edu.cn,浙江省重点大学,412
宁波工程学院,11058,11,浙江省宁波市江北区风华路201号,2,1,1,0,0,0,https://www.nbut.edu.cn,浙江省重点大学,413
浙江水利水电学院,11481,11,浙江省杭州市下沙高教园区学林街583号,2,1,1,0,0,0,https://www.zjweu.edu.cn,浙江省重点大学,414
浙江警察学院,11483,11,浙江省杭州市滨江区滨文路555号,6,1,1,0,0,0,https://www.zjjcxy.cn,浙江省重点大学,415
浙江传媒学院,11647,11,浙江省杭州市下沙高教园区学源街998号,1,1,1,0,0,0,https://www.zic.edu.cn,浙江省重点大学,416
丽水学院,10352,11,浙江省丽水市莲都区学院路1号,1,1,1,0,0,0,https://www.lsu.edu.cn,浙江省重点大学,417
浙江树人学院,11842,11,浙江省杭州市拱墅区树人路8号,1,1,2,0,0,0,https://www.zjsru.edu.cn,浙江省重点大学,418
安徽工业大学,10360,12,安徽省马鞍山市湖东路59号,2,1,1,0,0,0,https://www.ahut.edu.cn,安徽省重点大学,419
安徽理工大学,10361,12,安徽省淮南市田家庵区泰丰大街168号,2,1,1,0,0,0,https://www.aust.edu.cn,安徽省重点大学,420
安徽工程大学,10363,12,安徽省芜湖市北京中路,2,1,1,0,0,0,https://www.ahpu.edu.cn,安徽省重点大学,421
安徽农业大学,10364,12,安徽省合肥市蜀山区长江西路130号,7,1,1,0,0,0,https://www.ahau.edu.cn,安徽省重点大学,422
安徽医科大学,10366,12,安徽省合肥市梅山路81号,4,1,1,0,0,0,https://www.ahmu.edu.cn,安徽省重点大学,423
蚌埠医科大学,10367,12,安徽省蚌埠市东海大道2600号,4,1,1,0,0,0,https://www.bbmc.edu.cn,安徽省重点大学,424
皖南医学院,10368,12,安徽省芜湖市弋江区高教园区文昌西路22号,4,1,1,0,0,0,https://www.wnmc.edu.cn,安徽省重点大学,425
安徽中医药大学,10369,12,安徽省合肥市蜀山区梅山路103号,4,1,1,0,0,0,https://www.ahtcm.edu.cn,安徽省重点大学,426
安徽师范大学,10370,12,安徽省芜湖市弋江区九华南路189号,3,1,1,0,0,0,https://www.ahnu.edu.cn,安徽省重点大学,427
阜阳师范大学,10371,12,安徽省阜阳市颍州区清河西路100号,3,1,1,0,0,0,https://www.fynu.edu.cn,安徽省重点大学,428
安庆师范大学,10372,12,安徽省安庆市宜秀区集贤北路1318号,3,1,1,0,0,0,https://www.aqnu.edu.cn,安徽省重点大学,429
淮北师范大学,10373,12,安徽省淮北市相山区东山路100号,3,1,1,0,0,0,https://www.chnu.edu.cn,安徽省重点大学,430
黄山学院,10375,12,安徽省黄山市屯溪区西海路39号,1,1,1,0,0,0,https://www.hsu.edu.cn,安徽省重点大学,431
皖西学院,10376,12,安徽省六安市云露桥西月亮岛,1,1,1,0,0,0,https://www.wxc.edu.cn,安徽省重点大学,432
滁州学院,10377,12,安徽省滁州市琅琊区会峰西路1号,1,1,1,0,0,0,https://www.chzu.edu.cn,安徽省重点大学,433
安徽财经大学,10378,12,安徽省蚌埠市曹山路962号,5,1,1,0,0,0,https://www.aufe.edu.cn,安徽省重点大学,434
宿州学院,10379,12,安徽省宿州市埇桥区学府大道1769号,1,1,1,0,0,0,https://www.ahszu.edu.cn,安徽省重点大学,435
巢湖学院,10380,12,安徽省合肥市巢湖经济开发区半汤路1号,1,1,1,0,0,0,https://www.chtc.edu.cn,安徽省重点大学,436
淮南师范学院,10381,12,安徽省淮南市田家庵区洞山西路,3,1,1,0,0,0,https://www.hnnu.edu.cn,安徽省重点大学,437
