name,code,province_id,address,type,level,nature,is_985,is_211,is_double_first_class,website,description,ranking
北京联合大学,11417,1,北京市朝阳区北四环东路97号,1,1,1,0,0,0,https://www.buu.edu.cn,北京市属综合性大学,260
北京信息科技大学,11232,1,北京市海淀区清河小营东路12号,2,1,1,0,0,0,https://www.bistu.edu.cn,北京市属理工类大学,261
北京建筑大学,10016,1,北京市西城区展览馆路1号,2,1,1,0,0,0,https://www.bucea.edu.cn,北京市属建筑类大学,262
北京物资学院,10037,1,北京市通州区富河大街321号,5,1,1,0,0,0,https://www.bwu.edu.cn,北京市属财经类大学,263
北京印刷学院,10015,1,北京市大兴区兴华大街二段1号,2,1,1,0,0,0,https://www.bigc.edu.cn,北京市属理工类大学,264
北京石油化工学院,10017,1,北京市大兴区黄村清源北路19号,2,1,1,0,0,0,https://www.bipt.edu.cn,北京市属理工类大学,265
北京农学院,10020,1,北京市昌平区回龙观北农路7号,7,1,1,0,0,0,https://www.bac.edu.cn,北京市属农业类大学,266
首都体育学院,10029,1,北京市海淀区北三环西路11号,9,1,1,0,0,0,https://www.cupes.edu.cn,北京市属体育类大学,267
北京舞蹈学院,10051,1,北京市海淀区万寿寺路1号,8,1,1,0,0,0,https://www.bda.edu.cn,北京市属艺术类大学,268
中国戏曲学院,10049,1,北京市丰台区万泉寺400号,8,1,1,0,0,0,https://www.nacta.edu.cn,北京市属艺术类大学,269
北京电影学院,10050,1,北京市海淀区西土城路4号,8,1,1,0,0,0,https://www.bfa.edu.cn,中国顶尖电影类大学,270
天津工业大学,10058,2,天津市西青区宾水西道399号,2,1,1,0,0,1,https://www.tiangong.edu.cn,天津市重点大学,271
天津科技大学,10057,2,天津市河西区大沽南路1038号,2,1,1,0,0,0,https://www.tust.edu.cn,天津市重点大学,272
天津理工大学,10060,2,天津市西青区宾水西道391号,2,1,1,0,0,0,https://www.tjut.edu.cn,天津市重点大学,273
天津师范大学,10065,2,天津市西青区宾水西道393号,3,1,1,0,0,0,https://www.tjnu.edu.cn,天津市重点大学,274
天津商业大学,10069,2,天津市北辰区光荣道409号,5,1,1,0,0,0,https://www.tjcu.edu.cn,天津市重点大学,275
