name,code,province_id,address,type,level,nature,is_985,is_211,is_double_first_class,website,description,ranking
北京大学,10001,1,北京市海淀区颐和园路5号,1,1,1,1,1,1,https://www.pku.edu.cn,中国顶尖综合性大学，创办于1898年,1
清华大学,10003,1,北京市海淀区清华园1号,2,1,1,1,1,1,https://www.tsinghua.edu.cn,中国顶尖理工类大学，创办于1911年,2
复旦大学,10246,9,上海市杨浦区邯郸路220号,1,1,1,1,1,1,https://www.fudan.edu.cn,中国顶尖综合性大学，创办于1905年,3
浙江大学,10335,11,浙江省杭州市西湖区余杭塘路866号,2,1,1,1,1,1,https://www.zju.edu.cn,中国顶尖综合性大学，前身求是书院,4
南京大学,10284,10,南京市鼓楼区汉口路22号,1,1,1,1,1,1,https://www.nju.edu.cn,中国顶尖综合性大学，创办于1902年,5
上海交通大学,10248,9,上海市闵行区东川路800号,2,1,1,1,1,1,https://www.sjtu.edu.cn,中国顶尖综合性大学，创办于1896年,6
武汉大学,10486,17,湖北省武汉市武昌区珞珈山街道八一路299号,1,1,1,1,1,1,https://www.whu.edu.cn,中国顶尖综合性大学，创办于1893年,7
中山大学,10558,19,广东省广州市海珠区新港西路135号,1,1,1,1,1,1,https://www.sysu.edu.cn,中国顶尖综合性大学，创办于1924年,8
华中科技大学,10487,17,湖北省武汉市洪山区珞喻路1037号,2,1,1,1,1,1,https://www.hust.edu.cn,中国顶尖理工类大学，创办于1952年,9
四川大学,10610,23,四川省成都市武侯区一环路南一段24号,1,1,1,1,1,1,https://www.scu.edu.cn,中国顶尖综合性大学，创办于1896年,10
西安交通大学,10698,27,陕西省西安市咸宁西路28号,2,1,1,1,1,1,https://www.xjtu.edu.cn,中国顶尖综合性大学，创办于1896年,11
哈尔滨工业大学,10213,8,黑龙江省哈尔滨市南岗区西大直街92号,2,1,1,1,1,1,https://www.hit.edu.cn,中国顶尖理工类大学，C9联盟成员,12
北京航空航天大学,10006,1,北京市海淀区学院路37号,2,1,1,1,1,1,https://www.buaa.edu.cn,中国顶尖航空航天类大学,13
东南大学,10286,10,南京市玄武区四牌楼2号,2,1,1,1,1,1,https://www.seu.edu.cn,中国顶尖综合性大学，创办于1902年,14
同济大学,10247,9,上海市杨浦区四平路1239号,2,1,1,1,1,1,https://www.tongji.edu.cn,中国顶尖综合性大学，创办于1907年,15
北京师范大学,10027,1,北京市海淀区新街口外大街19号,3,1,1,1,1,1,https://www.bnu.edu.cn,中国顶尖师范类大学，创办于1902年,16
南开大学,10055,2,天津市南开区卫津路94号,1,1,1,1,1,1,https://www.nankai.edu.cn,中国顶尖综合性大学，创办于1919年,17
天津大学,10056,2,天津市南开区卫津路92号,2,1,1,1,1,1,https://www.tju.edu.cn,中国顶尖理工类大学，创办于1895年,18
中南大学,10533,18,湖南省长沙市岳麓区麓山南路932号,1,1,1,1,1,1,https://www.csu.edu.cn,中国顶尖综合性大学，创办于1903年,19
山东大学,10422,15,山东省济南市历城区山大南路27号,1,1,1,1,1,1,https://www.sdu.edu.cn,中国顶尖综合性大学，创办于1901年,20
厦门大学,10384,13,福建省厦门市思明区思明南路422号,1,1,1,1,1,1,https://www.xmu.edu.cn,中国顶尖综合性大学，创办于1921年,21
吉林大学,10183,7,吉林省长春市前进大街2699号,1,1,1,1,1,1,https://www.jlu.edu.cn,中国顶尖综合性大学，创办于1946年,22
